kind	x0	x1	top	bottom	width	height
line	2228.0	2232.5	1972.1	1972.1	4.5	0.0
line	2228.0	2261.7	1970.9	1970.9	33.7	0.0
line	2228.0	2228.0	1972.0	1972.1	0.0	0.1
line	2228.0	2261.7	1927.5	1927.5	33.7	0.0
line	2228.0	2228.0	1926.4	1926.5	0.0	0.1
line	2232.5	2262.9	1978.1	1978.1	30.4	0.0
line	2232.5	2232.5	1972.1	1978.1	0.0	6.0
line	2228.0	2261.7	1933.0	1933.0	33.7	0.0
line	2228.0	2261.7	1931.8	1931.8	33.7	0.0
line	2228.0	2228.0	1932.3	1932.5	0.0	0.2
line	2117.7	2118.8	1897.0	1897.0	1.1	0.0
line	2118.8	2118.8	1834.2	1897.0	0.0	62.8
line	2117.7	2118.8	1834.2	1834.2	1.1	0.0
line	2117.7	2117.7	1835.3	1895.9	0.0	60.6
line	2102.0	2102.0	1835.3	1895.9	0.0	60.6
line	2100.8	2100.8	1835.3	1895.9	0.0	60.6
line	2117.7	2117.7	1897.0	1897.1	0.0	0.1
line	2102.0	2117.7	1895.9	1895.9	15.7	0.0
line	2100.8	2100.8	1895.9	1897.1	0.0	1.2
line	2100.8	2117.7	1897.1	1897.1	16.9	0.0
line	2117.7	2117.7	1834.1	1834.2	0.0	0.1
line	2100.8	2117.7	1834.1	1834.1	16.9	0.0
line	2100.8	2100.8	1834.1	1835.3	0.0	1.2
line	2102.0	2117.7	1835.3	1835.3	15.7	0.0
line	2262.9	2264.3	1978.1	1978.1	1.5	0.0
line	2264.3	2264.3	1926.4	1978.1	0.0	51.7
line	2271.9	2271.9	1926.4	1978.1	0.0	51.7
line	2270.4	2270.4	1926.4	1978.1	0.0	51.7
line	2270.4	2271.9	1978.1	1978.1	1.5	0.0
line	2264.3	2270.4	1926.4	1926.4	6.0	0.0
line	2264.3	2264.3	1926.4	1978.1	0.0	51.7
line	2264.3	2270.4	1978.1	1978.1	6.0	0.0
line	2270.4	2270.4	1926.4	1978.1	0.0	51.7
line	2100.8	2100.9	1816.1	1978.1	0.0	162.0
line	2100.8	2336.3	1978.1	1978.1	235.4	0.0
line	2100.9	2336.3	1816.1	1816.1	235.4	0.0
line	2095.6	2100.8	1994.3	1994.3	5.2	0.0
line	2100.8	2136.9	1994.3	1994.3	36.0	0.0
line	2097.3	2104.4	1990.8	1997.8	7.0	7.0
line	2100.8	2100.8	1982.6	2000.8	0.0	18.2
line	2136.9	2136.9	1976.5	2000.8	0.0	24.3
line	2136.9	2226.9	1994.3	1994.3	90.0	0.0
line	2133.4	2140.4	1990.8	1997.8	7.0	7.0
line	2226.9	2226.9	1976.5	2000.8	0.0	24.3
line	2226.9	2262.9	1994.3	1994.3	36.0	0.0
line	2223.3	2230.4	1990.8	1997.8	7.0	7.0
line	2259.3	2266.4	1990.8	1997.8	7.0	7.0
line	2262.9	2268.1	1994.3	1994.3	5.2	0.0
line	2262.9	2262.9	1982.6	2000.8	0.0	18.2
line	2095.6	2100.8	1910.8	1910.8	5.2	0.0
line	2100.8	2138.3	1910.8	1910.8	37.5	0.0
line	2097.3	2104.4	1907.3	1914.3	7.0	7.0
line	2100.8	2100.8	1904.2	1917.3	0.0	13.1
line	2138.3	2138.3	1904.2	1919.6	0.0	15.4
line	2138.3	2225.4	1910.8	1910.8	87.0	0.0
line	2134.8	2141.9	1907.3	1914.3	7.0	7.0
line	2225.4	2225.4	1904.2	1919.6	0.0	15.4
line	2225.4	2289.9	1910.8	1910.8	64.5	0.0
line	2221.8	2228.8	1907.3	1914.3	7.0	7.0
line	2286.3	2293.4	1907.3	1914.3	7.0	7.0
line	2289.9	2295.1	1910.8	1910.8	5.2	0.0
line	2289.9	2289.9	1904.2	1919.6	0.0	15.4
line	2095.6	2100.8	1807.3	1807.3	5.2	0.0
line	2100.8	2118.8	1807.3	1807.3	18.0	0.0
line	2097.3	2104.4	1803.8	1810.8	7.0	7.0
line	2115.3	2122.4	1803.8	1810.8	7.0	7.0
line	2118.8	2124.1	1807.3	1807.3	5.2	0.0
line	2100.8	2100.8	1800.7	1829.6	0.0	28.9
line	2118.8	2118.8	1800.7	1829.6	0.0	28.9
line	2266.6	2271.9	1994.3	1994.3	5.2	0.0
line	2271.9	2289.9	1994.3	1994.3	18.0	0.0
line	2268.3	2275.4	1990.8	1997.8	7.0	7.0
line	2286.4	2293.4	1990.8	1997.8	7.0	7.0
line	2289.9	2295.1	1994.3	1994.3	5.2	0.0
line	2271.9	2271.9	1982.6	2000.8	0.0	18.2
line	2289.9	2289.9	1930.9	2000.8	0.0	69.9
line	2308.5	2308.5	1978.1	1983.4	0.0	5.2
line	2308.5	2308.5	1924.1	1978.1	0.0	54.0
line	2305.0	2312.0	1974.6	1981.6	7.0	7.0
line	2305.0	2312.0	1920.6	1927.6	7.0	7.0
line	2308.5	2308.5	1918.9	1924.1	0.0	5.2
line	2267.3	2315.1	1978.1	1978.1	47.7	0.0
line	2294.3	2315.1	1924.1	1924.1	20.7	0.0
line	2083.7	2083.7	1978.1	1983.4	0.0	5.2
line	2083.7	2083.7	1924.1	1978.1	0.0	54.0
line	2080.2	2087.2	1974.6	1981.6	7.0	7.0
line	2077.1	2096.3	1978.1	1978.1	19.2	0.0
line	2077.1	2097.5	1924.1	1924.1	20.4	0.0
line	2083.7	2083.7	1918.1	1924.1	0.0	6.0
line	2080.2	2087.2	1920.6	1927.6	7.0	7.0
line	2080.2	2087.2	1914.6	1921.6	7.0	7.0
line	2083.7	2083.7	1912.9	1918.1	0.0	5.2
line	2077.1	2096.3	1918.1	1918.1	19.2	0.0
line	2081.1	2083.7	1921.0	1921.1	2.5	0.1
line	2079.0	2081.1	1920.8	1921.0	2.1	0.2
line	2077.3	2079.0	1920.4	1920.8	1.7	0.4
line	2076.0	2077.3	1919.8	1920.4	1.3	0.6
line	2075.0	2076.0	1919.0	1919.8	1.0	0.8
line	2074.4	2075.0	1918.0	1919.0	0.7	1.0
line	2074.0	2074.4	1916.7	1918.0	0.4	1.3
line	2073.9	2074.0	1915.2	1916.7	0.1	1.5
line	2083.7	2083.7	1920.6	1921.6	0.0	1.0
line	2064.9	2064.9	1978.1	1983.4	0.0	5.2
line	2064.9	2064.9	1834.1	1978.1	0.0	144.0
line	2061.4	2068.4	1974.6	1981.6	7.0	7.0
line	2061.4	2068.4	1830.6	1837.6	7.0	7.0
line	2064.9	2064.9	1828.9	1834.1	0.0	5.2
line	2058.3	2096.3	1978.1	1978.1	38.0	0.0
