x0	x1	top	bottom	text
2908.9	2915.76	225.44	237.78	L
2917.68	2925.22	225.44	237.78	T
2927.13	2930.56	225.44	237.78	I
2932.48	2941.39	225.44	237.78	N
2943.31	2952.91	225.44	237.78	G
2386.6	2400.72	62.75	87.44	L
2400.75	2415.93	62.75	87.44	E
2415.96	2434.35	62.75	87.44	G
2434.38	2449.56	62.75	87.44	E
2449.59	2468.63	62.75	87.44	N
2468.66	2487.35	62.75	87.44	D
2487.38	2494.61	62.75	87.44	 
2494.55	2511.46	62.75	87.44	A
2511.5	2530.53	62.75	87.44	N
2530.56	2549.25	62.75	87.44	D
2549.28	2556.51	62.75	87.44	 
2556.6	2575.63	62.75	87.44	N
2575.66	2594.67	62.75	87.44	O
2594.7	2609.81	62.75	87.44	T
2609.84	2625.02	62.75	87.44	E
2625.05	2640.68	62.75	87.44	S
2872.62	2878.2	2051.92	2060.15	D
2878.19	2883.3	2051.92	2060.15	R
2883.3	2888.23	2051.92	2060.15	A
2888.23	2895.65	2051.92	2060.15	W
2895.65	2898.72	2051.92	2060.15	I
2898.71	2904.2	2051.92	2060.15	N
2904.2	2909.69	2051.92	2060.15	G
2909.68	2912.26	2051.92	2060.15	 
2912.28	2917.77	2051.92	2060.15	N
2917.76	2923.16	2051.92	2060.15	U
2923.16	2929.5	2051.92	2060.15	M
2929.5	2934.34	2051.92	2060.15	B
2934.34	2938.96	2051.92	2060.15	E
2938.95	2944.06	2051.92	2060.15	R
2864.83	2870.41	1950.97	1959.2	D
2870.41	2875.52	1950.97	1959.2	R
2875.52	2880.46	1950.97	1959.2	A
2880.46	2887.88	1950.97	1959.2	W
2887.88	2890.95	1950.97	1959.2	I
2890.95	2896.44	1950.97	1959.2	N
2896.44	2901.93	1950.97	1959.2	G
2901.94	2904.51	1950.97	1959.2	 
2904.49	2910.07	1950.97	1959.2	D
2910.07	2914.69	1950.97	1959.2	E
2914.69	2919.27	1950.97	1959.2	S
2919.27	2924.22	1950.97	1959.2	C
2924.22	2929.33	1950.97	1959.2	R
2929.33	2932.4	1950.97	1959.2	I
2932.4	2936.94	1950.97	1959.2	P
2936.94	2941.75	1950.97	1959.2	T
2941.75	2944.82	1950.97	1959.2	I
2944.82	2950.64	1950.97	1959.2	O
2950.65	2956.14	1950.97	1959.2	N
2833.18	2867.0	2068.91	2118.29	A
2867.08	2898.53	2068.91	2118.29	1
2898.67	2930.12	2068.91	2118.29	2
2930.27	2945.72	2068.91	2118.29	.
2945.74	2977.19	2068.91	2118.29	1
2896.5	2900.99	1788.99	1797.22	1
2900.99	2905.49	1788.99	1797.22	8
2905.49	2909.99	1788.99	1797.22	0
2909.99	2914.48	1788.99	1797.22	0
2914.49	2918.98	1788.99	1797.22	1
2896.5	2901.28	1803.62	1811.85	X
2901.27	2906.05	1803.62	1811.85	X
2906.04	2910.82	1803.62	1811.85	X
2896.57	2901.35	1818.25	1826.48	X
2901.34	2906.12	1818.25	1826.48	X
2906.11	2910.89	1818.25	1826.48	X
2836.05	2840.58	1789.05	1797.28	P
2840.58	2845.69	1789.05	1797.28	R
2845.68	2851.51	1789.05	1797.28	O
2851.51	2854.94	1789.05	1797.28	J
2854.93	2859.55	1789.05	1797.28	E
2859.55	2864.49	1789.05	1797.28	C
2864.49	2869.29	1789.05	1797.28	T
2869.29	2872.2	1789.05	1797.28	:
2836.05	2841.63	1803.68	1811.91	D
2841.62	2846.73	1803.68	1811.91	R
2846.72	2851.66	1803.68	1811.91	A
2851.65	2859.07	1803.68	1811.91	W
2859.06	2864.55	1803.68	1811.91	N
2864.55	2867.12	1803.68	1811.91	 
2867.15	2872.0	1803.68	1811.91	B
2871.99	2876.73	1803.68	1811.91	Y
2876.7	2879.61	1803.68	1811.91	:
2836.05	2840.99	1818.31	1826.54	C
2840.98	2846.54	1818.31	1826.54	H
2846.53	2851.14	1818.31	1826.54	E
2851.13	2856.08	1818.31	1826.54	C
2856.07	2860.91	1818.31	1826.54	K
2860.9	2865.52	1818.31	1826.54	E
2865.51	2871.09	1818.31	1826.54	D
2871.08	2873.65	1818.31	1826.54	 
2873.68	2878.52	1818.31	1826.54	B
2878.52	2883.26	1818.31	1826.54	Y
2883.23	2886.14	1818.31	1826.54	:
2841.13	2847.75	2011.33	2025.04	I
2847.75	2856.52	2011.33	2025.04	n
2856.52	2862.22	2011.33	2025.04	t
2862.22	2870.37	2011.33	2025.04	e
2870.36	2876.31	2011.33	2025.04	r
2876.31	2880.45	2011.33	2025.04	i
2880.45	2888.91	2011.33	2025.04	o
2888.9	2894.86	2011.33	2025.04	r
2894.85	2898.87	2011.33	2025.04	 
2898.91	2907.34	2011.33	2025.04	E
2907.34	2911.48	2011.33	2025.04	l
2911.48	2919.62	2011.33	2025.04	e
2919.62	2927.56	2011.33	2025.04	v
2927.55	2935.77	2011.33	2025.04	a
2935.77	2941.47	2011.33	2025.04	t
2941.47	2945.61	2011.33	2025.04	i
2945.6	2954.07	2011.33	2025.04	o
2954.06	2962.84	2011.33	2025.04	n
2962.83	2969.9	2011.33	2025.04	s
2836.05	2841.63	1847.54	1855.77	D
2841.63	2846.57	1847.54	1855.77	A
2846.57	2851.37	1847.54	1855.77	T
2851.38	2855.99	1847.54	1855.77	E
2856.0	2858.57	1847.54	1855.77	 
2858.59	2864.42	1847.54	1855.77	O
2864.42	2868.71	1847.54	1855.77	F
2868.71	2871.29	1847.54	1855.77	 
2871.26	2874.33	1847.54	1855.77	I
2874.34	2878.92	1847.54	1855.77	S
2878.92	2883.51	1847.54	1855.77	S
2883.51	2888.91	1847.54	1855.77	U
2888.91	2893.53	1847.54	1855.77	E
2893.54	2896.45	1847.54	1855.77	:
2896.44	2899.02	1847.54	1855.77	 
2899.01	2901.59	1847.54	1855.77	 
2901.6	2907.59	1847.54	1855.77	#
2866.88	2895.68	1279.73	1305.45	M
2866.88	2895.68	1262.65	1279.76	e
2866.88	2895.68	1244.24	1262.67	n
2866.88	2895.68	1235.56	1244.26	i
2866.88	2895.68	1224.58	1235.58	f
2866.88	2895.68	1207.49	1224.6	e
2866.88	2895.68	1190.41	1207.51	e
2866.88	2895.68	1181.99	1190.43	 
2866.88	2895.68	1165.52	1182.0	L
